,StationID,Longitude,Latitude,Height,Remark
3383,8503691,8.488822,47.333760999999996,550,"Stallikon, Bleiki"
3384,8503692,8.474344,47.337715,562,"Wettswil a.A., Dorf"
3385,8503693,8.466689,47.345627,562,"Wettswil a.A., Heidenchilen"
3386,8503694,8.493343,47.311457,550,"Stallikon, Gamlikon"
3388,8503696,8.482075,47.343294,550,"Stallikon, Sellenbüren"
3390,8503698,8.447051,47.359706,539,"Birmensdorf ZH, Untere Risi"
3391,8503699,8.454141,47.370537,557,"Uitikon, Dorf"
3392,8503700,8.626136,47.438718,455,"Bassersdorf, Bahnhof"
3395,8503709,8.462003,47.368336,585,"Waldegg, Post"
3462,8503791,8.557191,47.288367,435,"Thalwil, Ebnet"
3478,8503862,8.533142999999999,47.287707,478,"Langnau a.A.,Schwerzi-Wildpark"
7036,8530471,8.546402,47.376858,446,Hochschulen
7037,8530472,8.548919999999999,47.385883,490,Zürich Seilbahn Rigiblick
7038,8530473,8.553414,47.387333,580,"Zürich, Rigiblick"
7157,8530647,8.652712,47.365759999999995,436,Fällanden (See)
7158,8530648,8.674927,47.364535,440,Greifensee (See)
7261,8530811,8.57502,47.354578000000004,477,Zürich Balgrist
7262,8530812,8.560623,47.36169,435,Zürich Hegibachplatz
7263,8530813,8.554083,47.364875,424,Zürich Kreuzplatz
7272,8530822,8.542632000000001,47.373233,408,Zürich Limmatquai
9628,8572595,8.420568,47.347126,527,"Birmensdorf ZH, Altenberg"
10091,8573160,8.539983,47.288613,468,"Langnau am Albis, Dorf"
10092,8573161,8.543696,47.28722,468,"Langnau-Gattikon, Bahnhof"
10095,8573164,8.559678,47.29034,435,"Thalwil, Feldstrasse"
10097,8573166,8.564894,47.291269,435,"Thalwil, Mühlebachplatz"
10098,8573167,8.564468,47.294917,435,"Thalwil, Zentrum"
10099,8573168,8.565124,47.295909,435,"Thalwil, Bahnhof"
10128,8573205,8.563727,47.450441,447,"Zürich Flughafen, Bahnhof"
10134,8573211,8.580197,47.453545,447,"Kloten, Zum Wilden Mann"
10135,8573213,8.570688,47.444779,447,"Zürich Flughafen, Werft"
10136,8573214,8.571692,47.440244,447,"Kloten, Balsberg Hardacher"
10153,8573233,8.580392,47.457671999999995,447,"Kloten, Kaserne Ost"
10154,8573234,8.581667,47.45962,447,"Kloten, Hohrainli"
10160,8573240,8.527583,47.462355,430,"Rümlang, Riedmatt"
10161,8573241,8.532636,47.453951,430,"Rümlang, Bahnhof"
10162,8573242,8.540269,47.449849,430,"Rümlang, Rümelbach"
10163,8573244,8.562735,47.438038,432,"Glattbrugg, Unterriet"
10544,8573710,8.524189,47.371429,405,"Zürich Wiedikon, Bahnhof"
10545,8573711,8.485158,47.368227000000005,408,"Zürich, Sädlenweg"
10546,8573712,8.470105,47.342240999999994,562,"Wettswil a.A., Bäumlisächer"
10547,8573713,8.474231,47.331869,562,"Wettswil a.A., Grund"
10548,8573714,8.465119,47.359619,555,"Ringlikon, Langwis"
10549,8573715,8.485911,47.302088,550,"Stallikon, Aumüli"
10550,8573716,8.48742,47.298773,550,"Stallikon, Tägerst"
10552,8573718,8.438805,47.356945,488,"Birmensdorf ZH, Bahnhof"
10553,8573719,8.438321,47.350895,470,"Birmensdorf ZH, Aescherstrasse"
10558,8573724,8.490606,47.320198,550,"Stallikon, Aegerten"
10559,8573725,8.439345,47.323631,675,"Islisberg, Dorf"
10560,8573726,8.4685,47.326298,528,"Bonstetten-Wettswil, Bahnhof"
10561,8573728,8.463061999999999,47.316632,538,"Bonstetten, Chrüzacher"
10562,8573729,8.472567999999999,47.314343,550,"Bonstetten, Isenbach"
10563,8573730,8.472429,47.324239,550,"Bonstetten, Lärchenhof"
10564,8573731,8.475895,47.349394000000004,550,"Stallikon, Diebis"
11327,8574610,8.447610000000001,47.375972999999995,248,"Uitikon, Wängi"
11331,8574615,8.448622,47.373473,555,"Uitikon, Gläseren"
11364,8574658,8.451404,47.372116999999996,555,"Uitikon, Roracher"
11389,8574684,8.458724,47.369256,555,"Uitikon, Halde"
11439,8574739,8.462348,47.364933,555,"Waldegg, Katholische Kirche"
11476,8574780,8.469503,47.358366,682,"Ringlikon, Dorf"
11576,8574898,8.465323,47.361974,620,"Ringlikon, Gättern"
11675,8575014,8.465034,47.366222,620,"Uitikon Waldegg, Bahnhof"
12656,8576127,8.659550999999999,47.383984999999996,443,"Schwerzenbach ZH, Bahnhof"
